2737039,Oliveira do Douro,17,PT,Portugal,41.12466,-8.58463
2737523,Monção,20,PT,Portugal,42.07892,-8.48076
2737824,Matosinhos,17,PT,Portugal,41.18207,-8.68908
2738014,Maia,17,PT,Portugal,41.23574,-8.6199
2738347,Leça do Bailio,17,PT,Portugal,41.21457,-8.61348
2738348,Leça da Palmeira,17,PT,Portugal,41.191,-8.70027
2738707,Ílhavo,02,PT,Portugal,40.5999,-8.66732
2738752,Guimarães,04,PT,Portugal,41.44443,-8.29619
2738785,Guarda,11,PT,Portugal,40.53733,-7.26575
2738925,Gondomar,17,PT,Portugal,41.14454,-8.53223
2739723,Feira,02,PT,Portugal,40.92535,-8.54277
2739756,Fânzeres,17,PT,Portugal,41.17087,-8.5257
2739788,Fafe,04,PT,Portugal,41.45423,-8.168
2739997,Ermesinde,17,PT,Portugal,41.22176,-8.55462
2740174,Custoias,11,PT,Portugal,41.1053,-7.32097
2740313,Covilhã,06,PT,Portugal,40.28601,-7.50396
2740637,Coimbra,07,PT,Portugal,40.20564,-8.41955
2741551,Canidelo,17,PT,Portugal,41.12402,-8.65104
2742027,Bragança,05,PT,Portugal,41.80582,-6.75719
2742032,Braga,04,PT,Portugal,41.55032,-8.42005
2742051,Bougado,17,PT,Portugal,41.33979,-8.5518
2742416,Barcelos,04,PT,Portugal,41.53876,-8.61505
2742506,Baguim do Monte,17,PT,Portugal,41.19392,-8.54133
2742611,Aveiro,02,PT,Portugal,40.64427,-8.64554
2743304,Águas Santas,17,PT,Portugal,41.21061,-8.5866
